Date,Time,Case,Primary Convective Type,Convective Lifecycle,Echo Type,Environment Falling In,Environment Falling In Notes,Environment Falling In Ambiguous,Partially In Precip,Falling Through Evaporating/Dissipating Stratiform,Low-level Inflow Sonde,Mid-level Inflow Sonde,Region,Associated with a TC,Primary Convective Propagation,Environment Relative to Convective Pass,Direction Relative to Convection,Sfc Pressure [mb],Sfc Height [m],PBL Top [mb],PBL Top Height [m],Freezing Level [mb],Freezing Level Height [m],Upper Level Cap [mb],Upper Level Cap Height [m],M10 Celsius Level [mb],M20 Celsius Level [mb],M30 Celsius Level [mb],PBL RH [%],Mid Layer RH [%],Upper Layer RH [%],Deep Layer RH [%],Below FZL MUCAPE [J/kg],Above FZL MUCAPE [J/kg],Deep Layer MUCAPE [J/kg],MU CIN [J/kg],MU LCL [mb],MU EL [mb],MU Max LI [degC],MU Max LI Level [mb],MU Max LI Layer,Below FZL MLCAPE [J/kg],Above FZL MLCAPE [J/kg],Deep Layer MLCAPE [J/kg],ML CIN [J/kg],ML LCL [mb],ML EL [mb],ML Max LI [degC],ML Max LI Level [mb],ML Max LI Layer,SHARPpy Direct Method PBL Speed Shear [kts],SHARPpy Direct Method PBL Directional Shear [deg],SHARPpy Direct Method Mid Layer Speed Shear [kts],SHARPpy Direct Method Mid Layer Directional Shear [deg],SHARPpy Direct Method Upper Layer Speed Shear [kts],SHARPpy Direct Method Upper Layer Directional Shear [deg],SHARPpy Direct Method Deep Layer Speed Shear [kts],SHARPpy Direct Method Deep Layer Directional Shear [deg],10mb Interval Theta Gradient PBL Top [mb],10mb Interval Theta Gradient PBL RH [%],10mb Interval Theta Gradient Mid Layer RH [%],Max Profile Height [m],500m Bottom Cap Profile Height [m],500m Bottom Cap Deep Layer Speed Shear [kts],500m Bottom Cap Deep Layer Directional Shear [deg]
20170616,210804,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,573.6,4770.8,399.7,7619.5,433.3,350.3,290.1,,,83.6,,,,,,,,,,,,,,,,,,,,,,,,5.64,310.6,,,,,,12262.5,,,
20170616,210905,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,565.7,4904.9,400.6,7622.1,433.6,350.7,292.6,,,85.8,,,,,,,,,,,,,,,,,,,,,,,,4.86,156.5,,,,,,12284.5,,,
20170616,211353,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,572,4847.3,402.5,7613.3,435.2,352,291.6,,,88.6,,,,,,,,,,,,,,,,,,,,,,,,8.27,170.5,,,,,,12223.6,,,
20170616,211752,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,566.7,4871,399.4,7618.1,435.8,351.2,292.7,,,81.1,,,,,,,,,,,,,,,,,,,,,,,,7.92,332.1,,,,,,12242.4,,,
20170616,212258,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,565.5,4888.7,399.3,7621.8,436.4,352.5,292.2,,,77.9,,,,,,,,,,,,,,,,,,,,,,,,4.74,235,,,,,,12289.1,,,
20170616,212951,5,Organized,Weakening,Stratiform,In Precip,,,,,No,No,Caribbean,No,,,,,,,,565.7,4901.6,400.8,7614.1,438.9,356.3,292.8,,,84.5,,,,,,,,,,,,,,,,,,,,,,,,10.44,243.4,,,,,,12281,,,
20170601,182045,6,Organized,Mature,Stratiform,In Precip,,,,,No,No,Gulf,No,,,,,,,,598.4,4516.2,402.9,7616.1,453.9,367.7,301.9,,,85.1,,,,,,,,,,,,,,,,,,,,,,,,17.28,309.1,,,,,,11797.3,,,
20170601,183017,6,Organized,Mature,Stratiform,In Precip,,,,,No,No,Gulf,No,,,,,,,,602.3,4404.5,400.1,7621.1,448.1,363.9,301.9,,,86.1,,,,,,,,,,,,,,,,,,,,,,,,13.07,323.4,,,,,,12192.2,,,
20170601,185014,6,Organized,Mature,Stratiform,In Precip,In weakening convective core,,,,No,No,Gulf,No,,,,991.7,224.4,980.4,325,589.8,4583.7,400.9,7614.3,449.9,362.9,301,80.6,75.7,87.5,80.3,194.2,75.7,269.9,-65.6,950.9,435.1,-0.04,435.8,,87.9,3.8,91.7,-107.5,877.7,562.8,-2.08,630.5,,3.83,165.2,15.07,101.2,10.54,244.8,13.61,149,,,,12288.7,498.4,2.87,298.2
20170601,191341,6,Organized,Mature,Stratiform,In Precip,"In weakening convective core; On edge of stratiform; may be In Cloud, which skewT might support (onion-like profile though)",Yes,,,No,No,Gulf,No,,,,980.6,319.6,943.9,654.6,619.6,4188.1,400.6,7618.1,451,363.4,302.4,63.4,64.7,85.2,74.1,46.2,50.3,96.6,-122,879.1,559.1,-3.16,615,,15.8,22.6,38.4,-204.9,834.5,584.6,-2,615,,3.04,230,7.6,122.3,37.06,288.3,31.57,279.9,,,,12169,500,30.36,283.3
20170601,191656,6,Organized,Mature,Convective,In Precip,In weakening convective core,,,,No,No,Gulf,No,,,,,,,,589.1,4648.2,403.7,7615.7,441.2,361.1,300.3,,,82.5,,,,,,,,,,,,,,,,,,,,,,,,19.14,282.9,,,,,,11991.8,,,
